Player Name,League,Club,Position,Tactical Role,Minutes Played,Short Pass Accuracy %,Medium Pass Accuracy %,Long Pass Accuracy %,Goals per 90,Assists per 90,Total Pass Accuracy %,Tackles Success %,Dribblers Tackled,Blocks per 90,Shots Blocked per 90,Passes Blocked per 90,Clearances per 90,Errors per 90,Aggressive High Block Engagement,Transition Ability (Interceptions-Passing),Area Clearance & Box Protection,Build-up Ability,1v1 Ability,Compactness & Shot Blocks,Overall Defensive Workload Index,Vertical Passing / Line-Breaking,Low-Tempo Defensive Coverage,Mid-Third Engagements,Long Passing Ability - Pressured Duel Success,Errors Under Pressure,Area Variety in Tackling,Structured Passing in Tactical Mid-Blocks,Defensive Stress Indicators & Rescue Actions,Passing Reliability Across Areas,Defensive Energy & Effort Radar
Sergio Akieme,La Liga,Almeria,Defender,Ball-Winning Full-Back,1676,0.908602151,0.83125,0.432160804,0.107398568,0,0.056060606,0.833333333,13,0.751789976,0.214797136,0.53699284,1.825775656,0,0.419525099,0.209621181,0.434926569,0.441214978,0.626997421,0.42562975,0.355769281,0.071568003,0.59255982,0.486946181,0.400091999,0.370272833,0.564555412,0.647552306,0.166550397,0.685478481,0.826509771
Sergio Ramos,La Liga,Sevilla,Defender,Positional Defender,2518,0.92,0.944237918,0.763793103,0.107227959,0,0.031926121,0.9375,27,1.250992851,1.072279587,0.178713264,5.575853852,0,0.097078078,0.602434516,0.308286162,0.451372277,0.677314862,0.569739856,0.631786481,0.254807912,0.451864167,0.542719305,0.481046839,0.312619582,0.584847591,0.275675277,0.182373174,0.731024287,0.822636047
Juanpe,La Liga,Girona,Defender,Ball-Playing Centre-Back,736,0.963302752,0.941666667,0.639455782,0,0,0.109854015,1,9,2.078804348,1.345108696,0.733695652,6.114130435,0.122282609,0.073458597,0.582978795,0.693367333,0.123534995,0.643369317,0.817118662,0.384697308,0.251433505,0.496822643,0.60873317,0.22124975,0.360352434,0.686221925,0.265355386,0.160093596,0.615223812,0.827874402
Alberto Moreno,La Liga,Villarreal,Defender,Ball-Winning Full-Back,1488,0.887096774,0.846590909,0.577777778,0.120967742,0.007258065,0.059865093,1.105263158,10,0.725806452,0.120967742,0.60483871,1.995967742,0,0.484654122,0.376162832,0.225370895,0.694493269,0.594650423,0.63194991,0.477343937,0.111596821,0.525394714,0.258930377,0.433613475,0.337723563,0.559543255,0.566160585,0.064584698,0.759592149,0.915906383
Saúl Coco,La Liga,Las Palmas,Defender,Ball-Playing Centre-Back,2293,0.946502058,0.928853755,0.457142857,0.039249891,0,0.034890304,0.76,11,1.059747056,0.588748365,0.470998692,4.709986917,0.117749673,0.182788924,0.386343303,0.493914991,0.344597007,0.705032183,0.475500005,0.293793505,0.151086743,0.661600748,0.589044223,0.249622236,0.380551819,0.857388113,0.60637377,0.165015297,0.540707826,0.827874402
Miguel Gutiérrez,La Liga,Girona,Defender,Ball-Playing Centre-Back,3037,0.9375,0.862068966,0.658198614,0.059269015,0.006223247,0.031241744,1.636363636,13,0.800131709,0.325979585,0.474152124,1.955877511,0.059269015,0.255473635,0.14593764,0.285096839,0.472260707,0.512732265,0.75951603,0.263289523,0.114751767,0.391966091,0.462500601,0.44756694,0.34514677,0.593924935,0.369013671,0.206594564,0.76755671,0.797140105
Yan Couto,La Liga,Girona,Defender,Ball-Winning Full-Back,2245,0.876447876,0.791262136,0.538297872,0.040089087,0.012828508,0.038650866,1.36,20,0.561247216,0.080178174,0.481069042,1.242761693,0.040089087,0.557481354,0.181264201,0.301386266,0.422894245,0.800652346,0.712155702,0.343465126,0.130944081,0.427270732,0.412817892,0.479889835,0.294223783,0.49826659,0.552922267,0.207097869,0.787229097,0.775890439
Arnau Martínez,La Liga,Girona,Defender,Ball-Playing Centre-Back,1242,0.942446043,0.935849057,0.552112676,0,0.010144928,0.072436751,0.941176471,15,1.086956522,0.362318841,0.724637681,2.971014493,0.217391304,0.377660404,0.381107994,0.36621557,0.277228449,0.637527935,0.66041918,0.167861361,0.127274817,0.491360891,0.350545406,0.362934918,0.259252948,0.782530106,0.676683952,0.240193817,0.659646852,0.720258306
David López,La Liga,Girona,Defender,Ball-Playing Centre-Back,1975,0.944664032,0.960493827,0.660984848,0.136708861,0,0.042648923,0.952380952,17,1.275949367,0.865822785,0.410126582,2.870886076,0.182278481,0.196523563,0.428675043,0.307705189,0.297005944,0.513826343,0.564864639,0.539412084,0.136907906,0.480535046,0.433362597,0.363012535,0.426266091,0.389158343,0.62909095,0.135980961,0.716719725,0.8395822
Catena,La Liga,Osasuna,Defender,Ball-Playing Centre-Back,2536,0.895049505,0.912863071,0.591269841,0.035488959,0.003903785,0.029194883,0.692307692,19,0.851735016,0.532334385,0.319400631,4.22318612,0.106466877,0.196527114,0.292998332,0.462902045,0.395657163,0.714744708,0.477502709,0.287963586,0.169920451,0.381385359,0.389047553,0.503660183,0.352673766,0.772987488,0.642450319,0.18524787,0.651641378,0.816364277
Jesús Areso,La Liga,Osasuna,Defender,Ball-Winning Full-Back,2661,0.880829016,0.762162162,0.493530499,0.033821871,0.006764374,0.036663124,0.96,31,1.217587373,0.507328072,0.710259301,1.961668546,0,0.459469789,0.277005077,0.607135663,0.436219637,0.598600005,0.555669187,0.228578933,0.17205855,0.470183495,0.693110331,0.568056567,0.37201367,0.434190355,0.417892057,0.186330644,0.679141731,0.804563524
Jorge Herrando,La Liga,Osasuna,Defender,Ball-Playing Centre-Back,1644,0.892307692,0.905263158,0.427374302,0,0.002737226,0.043572395,0.826086957,12,1.094890511,0.602189781,0.49270073,3.777372263,0.054744526,0.312201941,0.391779303,0.550506373,0.418258652,0.775865461,0.568374444,0.222799138,0.150048377,0.494875199,0.36703987,0.23204382,0.326316025,0.672024179,0.838478899,0.12870593,0.622932363,0.834072648
Kiko Femenía,La Liga,Villarreal,Defender,Defensive Anchor / Stopper,1580,0.943262411,0.864150943,0.483870968,0,0,0.056990395,1.315789474,19,1.196202532,0.341772152,0.85443038,2.563291139,0,0.48467736,0.513097327,0.291641314,0.656860432,0.537253272,0.832817324,0.148260864,0.120511772,0.549028964,0.476565405,0.162315883,0.275936938,0.66601312,0.477098467,0.179191811,0.709348446,0.776071332
Diego Rico,La Liga,Getafe,Defender,Defensive Anchor / Stopper,2537,0.846534653,0.676616915,0.389651531,0,0.008868743,0.03378119,1.5,41,0.886874261,0.283799764,0.603074497,2.696097753,0,0.673256307,0.444592656,0.448024134,0.765402266,0.833245794,0.687436725,0.300897144,0.22026869,0.536182986,0.801264808,0.364786877,0.360488193,0.49936149,0.265977904,0.165558648,0.72051718,0.825453393
Domingos Duarte,La Liga,Getafe,Defender,Ball-Playing Centre-Back,907,0.770034843,0.834170854,0.693586698,0,0,0.077393617,0.666666667,5,0.694597574,0.496141125,0.19845645,2.679162073,0,0.192926108,0.199526117,0.56698613,0.717386816,0.824002271,0.601942374,0.302593318,0.304596235,0.426090124,0.480095202,1,0.386596459,0.415126845,0.817128341,0.200430566,0.831899524,0.786750046
Aitor Paredes,La Liga,Athletic Club,Defender,Ball-Playing Centre-Back,2707,0.888888889,0.932384342,0.591737546,0.033247137,0,0.028626692,1,7,0.764684152,0.365718508,0.398965645,3.457702253,0,0.13382887,0.244653847,0.383769638,0.653424893,0.58629492,0.63593902,0.236115174,0.177955335,0.497033171,0.504146131,0.502777884,0.447999729,0.787296588,0.781007743,0.147071204,0.693594074,0.854044773
Thierry Correia,La Liga,Valencia,Defender,Defensive Anchor / Stopper,2161,0.897637795,0.797927461,0.407322654,0,0.003331791,0.041846758,0.897435897,28,1.624248033,0.666358168,0.957889866,2.540490514,0,0.614298004,0.60911151,0.574942853,0.460879676,0.578391899,0.546169933,0.144371014,0.153733774,0.470615345,0.521771862,0.279006513,0.419249054,0.425769037,0.524610278,0.084649208,0.565352215,0.886930885
Jesús Vázquez,La Liga,Valencia,Defender,Defensive Anchor / Stopper,705,0.854304636,0.66251298,0.369822485,0.127659574,0,0.120670391,0.923076923,10,2.170212766,0.510638298,1.659574468,3.063829787,0,0.901961435,0.484483593,0.96336863,0.225021404,0.421064437,0.525995744,0.499182852,0.083331641,0.199326317,0.527502295,0.440185222,0.45488382,0.620083455,0.242958294,0.208413375,0.38439661,0.765344131
Cristhian Mosquera,La Liga,Valencia,Defender,Ball-Playing Centre-Back,3072,0.918238994,0.940239044,0.635332253,0,0,0.026218384,0.944444444,25,1.23046875,0.673828125,0.556640625,4.013671875,0.05859375,0.260239351,0.482898845,0.380791013,0.370486237,0.634622225,0.641167753,0.232509452,0.199763535,0.425405965,0.479973569,0.450593532,0.391553318,0.705760042,0.596075059,0.157513843,0.656122442,0.820831423
Toni Lato,La Liga,Mallorca,Defender,Defensive Anchor / Stopper,1543,0.87804878,0.758426966,0.482213439,0,0.003499676,0.060595447,1.210526316,16,0.991574854,0.174983798,0.816591056,1.57485418,0,0.6479228,0.38685965,0.395678097,0.497932749,0.665862723,0.621981821,0.179302894,0.174731253,0.531322221,0.72463696,0.573420393,0.377320789,0.537787266,0.450988245,0.141071359,0.733757002,0.856396536
Pablo Maffeo,La Liga,Mallorca,Defender,Ball-Winning Full-Back,1545,0.828125,0.664583333,0.328212291,0.058252427,0.006990291,0.055263158,1.222222222,23,0.699029126,0.116504854,0.582524272,1.339805825,0,0.701045159,0.225343966,0.541690537,0.598096397,0.805552632,0.484119311,0.343513691,0.141728701,0.504329884,0.689503422,0.434611932,0.498050863,0.395119801,0.507829625,0.165672044,0.595511999,0.811818853
Copete,La Liga,Mallorca,Defender,Defensive Anchor / Stopper,1339,0.860655738,0.856353591,0.486725664,0.067214339,0.004705004,0.052972028,1,30,0.806572069,0.403286034,0.403286034,3.159073936,0.067214339,0.613947544,0.709402751,0.151924071,0.830564311,0.696372516,0.431401784,0.374233308,0.164378966,0.373076727,0.309753685,0.262245762,0.522830045,0.48268205,0.722189826,0.143221887,0.696243749,0.795318443
Adrià Pedrosa,La Liga,Sevilla,Defender,Defensive Anchor / Stopper,1743,0.86784141,0.759259259,0.384984026,0.051635112,0.010843373,0.052481203,0.928571429,23,1.342512909,0.309810671,1.032702238,2.788296041,0,0.652318386,0.440471837,0.639175158,0.399817512,0.648015044,0.482424287,0.314803435,0.14620665,0.542020452,0.542990586,0.42117378,0.455774428,0.632844626,0.526242275,0.134548709,0.472789344,0.861556332
Kike Salas,La Liga,Sevilla,Defender,Positional Defender,1608,0.869198312,0.847736626,0.398190045,0.167910448,0,0.046122027,0.884615385,22,1.399253731,0.78358209,0.615671642,5.093283582,0.055970149,0.462393066,0.589062768,0.583063069,0.616940135,0.577227266,0.368714646,0.653128432,0.136461017,0.350173211,0.583437417,0.232592512,0.329550799,0.694669936,0.594813549,0.186864537,0.567262793,0.793935
Robin Le Normand,La Liga,Real Sociedad,Defender,Ball-Playing Centre-Back,2473,0.916230366,0.925501433,0.746974697,0.07278609,0,0.032349603,1.375,17,0.946219167,0.545895673,0.400323494,3.493732309,0.036393045,0.156921367,0.359731575,0.244136518,0.452724611,0.650027282,0.769908602,0.4922143,0.213802637,0.552308363,0.468963526,0.515796692,0.508043742,0.600137577,0.479321816,0.189364988,0.737275859,0.786552764
Javi Galán,La Liga,Real Sociedad,Defender,Defensive Anchor / Stopper,1076,0.90376569,0.816593886,0.520634921,0,0.00669145,0.982222222,1.466666667,15,2.007434944,0.083643123,1.923791822,1.421933086,0.083643123,0.72824288,0.494715102,0.582465777,0.075235644,0.379744752,0.905864571,0.239354628,0.222673036,0.832711993,0.970339779,0.636956527,1,0.876255217,0.653024997,0.777785134,0,0.071765227
Íñigo Martínez,La Liga,Barcelona,Defender,Ball-Playing Centre-Back,1290,0.933333333,0.936046512,0.6825,0,0,0.06216458,0.777777778,6,0.906976744,0.697674419,0.209302326,3.488372093,0,0.046894019,0.278502103,0.36290774,0.394220337,0.739612124,0.733406626,0.256760519,0.20636648,0.568852497,0.464055037,0.462997377,0.28412307,0.576581191,0.504879381,0.183736257,0.739845376,0.807213583
Alejandro Balde,La Liga,Barcelona,Defender,Ball-Winning Full-Back,1378,0.909385113,0.867052023,0.523636364,0,0.004571843,0.067862481,1,7,0.91436865,0.065312046,0.849056604,1.371552975,0.065312046,0.42157274,0.179036934,0.442817918,0.307149229,0.591533451,0.635428859,0.099523579,0.127800217,0.598903743,0.543830505,0.610228934,0.390026355,0.708497238,0.737592835,0.184902344,0.655088501,0.808806192
Rafa Marín,La Liga,Alaves,Defender,Ball-Playing Centre-Back,2437,0.893457944,0.898395722,0.602053915,0,0,0.030618253,0.869565217,14,1.255642183,0.775543701,0.480098482,4.764054165,0.073861305,0.164871682,0.439270524,0.537839456,0.562169031,0.67535251,0.682974669,0.267956471,0.228906498,0.436252492,0.466193168,0.410392281,0.393383016,0.70130084,0.527142829,0.197342494,0.652481806,0.772778885
Dani Carvajal,La Liga,Real Madrid,Defender,Ball-Winning Full-Back,2176,0.912621359,0.88209607,0.68329718,0.165441176,0.004963235,0.041338583,1.142857143,23,1.158088235,0.372242647,0.785845588,2.233455882,0.165441176,0.445517982,0.396511973,0.285887331,0.367759635,0.511380446,0.667375079,0.640106314,0.111890162,0.486810362,0.286661901,0.520215139,0.333965557,0.515492975,0.450617234,0.136060596,0.706063797,0.859528022
Fran García,La Liga,Real Madrid,Defender,Ball-Winning Full-Back,1395,0.93557423,0.857819905,0.412300683,0.064516129,0.020645161,0.067037037,1.545454545,13,1.032258065,0.193548387,0.838709677,1.806451613,0.064516129,0.482974312,0.330344707,0.326892479,0.583296689,0.499025584,0.749126206,0.275997533,0.098752861,0.603857084,0.555784989,0.137945097,0.399235813,0.648241053,0.654180232,0.153987184,0.633432587,0.818540763
Lucas Vázquez,La Liga,Real Madrid,Defender,Defensive Anchor / Stopper,1409,0.924281984,0.883408072,0.424242424,0.191625266,0.024272534,0.064231189,1.136363636,18,1.724627395,0.319375444,1.405251952,2.299503194,0,0.603779631,0.482076719,0.546757214,0.218051945,0.424368363,0.619449307,0.679251891,0.073257514,0.733050932,0.319219004,0.202706553,0.519959157,0.624719825,0.747956236,0.118748654,0.511435372,0.852716492
Sergi Cardona,La Liga,Las Palmas,Defender,Defensive Anchor / Stopper,2815,0.892265193,0.826666667,0.474358974,0.031971581,0.001918295,0.031907514,1.057692308,55,1.438721137,0.223801066,1.214920071,3.261101243,0,0.700375388,0.646178758,0.440266653,0.470798025,0.582202071,0.607749329,0.295386404,0.159591739,0.570450318,0.514808566,0.444335052,0.396589413,0.785820963,0.501465088,0.117618859,0.638633589,0.86805167
Pep Chavarría,La Liga,Rayo Vallecano,Defender,Ball-Winning Full-Back,1163,0.878228782,0.793650794,0.404379562,0.077386071,0.006190886,0.073757764,1.2,11,1.160791058,0.232158212,0.928632846,2.244196045,0.077386071,0.53091962,0.320033797,0.590612463,0.32955326,0.790397067,0.668755937,0.505861327,0.157496202,0.84178565,0.577188183,0.41028058,0.387991117,0.556510142,0.62222181,0.214964721,0.586316763,0.760644689
