Player Name,League,Club,Position,Tactical Role,Minutes Played,Goals per 90,Goals Total,Shots per 90,Shots Total,Assists per 90,Assists Total,Duels Won per 90 (%),Dribbles per 90 (%),Key Passes per 90,Total Passes per 90,Pass Accuracy (%),Tackles per 90,Tackles Total,Interceptions per 90,Interceptions Total,Defensive Involvement & Ball Recovery,Defensive Involvement & Consistency,Final Third/Attacking Contribution,Defensive Pressing,Build-Up & Offensive Contribution,Passing & Technical Quality,Intensity & Ball-Carrying
johan gastien,Ligue 1,clermont foot,Midfielder,Positional Anchor,2273.0,0.0,0.0,0.3563572371315442,9.0,0.0,0.0,43.30357142857144,36.36363636363636,1.2670479542454909,65.45094588649361,82.5,1.702595688517378,43.0,1.4254289485261769,36.0,0.5184651980213055,0.8131663958642071,0.2493638677361901,0.5343811635578299,0.558898856407052,0.3014706274341326,0.3459373055940229
johan ponceau,Ligue 1,lorient,Midfielder,Positional Anchor,2251.0,0.11994669035984,3.0,0.7996446023989338,20.0,0.0799644602398933,2.0,42.909090909090914,52.5,1.3993780541981342,45.099955575299866,0.0,1.279431363838294,32.0,0.759662372278987,19.0,0.3830677648295964,0.8333757140491508,0.4523254570559692,0.4763685407270526,0.4867937083126003,0.3921389195392785,0.4671445224592893
jon guridi,La Liga,alaves,Midfielder,Final-Third Playmaker,2697.0,0.100111234705228,3.0,0.8342602892102335,25.0,0.1334816462736373,4.0,46.975088967971544,40.0,1.067853170189099,26.69632925472748,77.5,1.4015572858731924,42.0,0.7341490545050054,22.0,0.6308282440255545,0.6710014668521787,0.4135357533559848,0.4146999066367348,0.4864702336633051,0.4543860036629178,0.2971012510141757
jonathan viera,La Liga,almeria,Midfielder,Positional Anchor,923.0,0.0,0.0,0.8775731310942578,9.0,0.2925243770314193,3.0,51.64835164835166,47.36842105263157,2.730227518959913,51.971830985915496,85.9,1.852654387865656,19.0,0.390032502708559,4.0,0.4600185975009849,0.1579401679088866,0.3834583302156318,0.5720299985415515,0.3759546989454174,0.2819383635100956,0.3029218308828106
jordan chotard,Ligue 1,montpellier,Midfielder,Deep-lying Playmaker,2594.0,0.0,0.0,0.4510408635312259,13.0,0.1040863531225906,3.0,51.21951219512195,25.0,0.5204317656129529,39.37933693138011,0.0,2.7756360832690827,80.0,1.5265998457979957,44.0,0.4100555552132101,0.7426294885003107,0.4831906320148281,0.6008436901299383,0.5296034696773169,0.2568651334451934,0.679891960493178
jordan diazongua nfinigui,Ligue 1,metz,Midfielder,Positional Anchor,747.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4466216627181604,0.660839884498028,0.1730146027353342,0.3178913026073164,0.72784201263088,0.5386113576464926,0.2725460616780781
jordan ferri,Ligue 1,montpellier,Midfielder,Deep-lying Playmaker,2037.0,0.0441826215022091,1.0,0.1767304860088365,4.0,0.0441826215022091,1.0,39.405204460966544,47.22222222222223,1.2371134020618555,56.6421207658321,82.7,1.5905743740795286,36.0,0.5743740795287187,13.0,0.2786511672903755,0.7362851675492761,0.4519097148510408,0.5408515751431021,0.6981853989865265,0.4020940262472139,0.5196409828123263
jordan veretout,Ligue 1,marseille,Midfielder,Deep-lying Playmaker,2184.0,0.0412087912087912,1.0,1.112637362637363,27.0,0.0824175824175824,2.0,42.42424242424242,42.857142857142854,1.978021978021978,49.862637362637365,78.2,1.565934065934066,38.0,0.5357142857142857,13.0,0.335177079297406,0.6725666342165147,0.5853562728619224,0.5006845808476141,0.5364767231424126,0.514026763260597,0.3339615718293285
josip brekalo,Serie A,fiorentina,Midfielder,Deep-lying Playmaker,655.0,0.1374045801526717,1.0,0.9618320610687024,7.0,0.0,0.0,37.704918032786885,47.05882352941176,0.8244274809160306,36.27480916030535,80.4,1.099236641221374,8.0,0.1374045801526717,1.0,0.1746167332611303,0.5845152738118197,0.3615501724113953,0.6307513540852893,0.4256610704183569,0.1812505342050424,0.5072747607993183
juanlu sanchez,La Liga,sevilla,Midfielder,Final-Third Playmaker,1172.0,0.0,0.0,0.7679180887372014,10.0,0.1535836177474402,2.0,60.82474226804124,51.02040816326533,1.3054607508532423,42.38907849829352,79.0,4.300341296928328,56.0,0.9215017064846416,12.0,0.6070261709789039,0.6108919049658126,0.2538224564588475,0.403263428033321,0.5076555548413993,0.1226727843608369,0.0959770906117482
