name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
m. thuram,serie a,inter,Attacker,Creative Technician,2707.0,13.0,0.4322127816771333,56.62,60.0,1.994828223125231,7.0,0.2327299593646102,75.0,75.0,75.0,0.9641669745105282,21.045437753971186,72.6,72.6,1.5718480722130763,0.1730919924318848,-2.99152110528308,1.5436632582581775,0.8979140815445262,0.704687142246335,0.4392500046680924
p. dybala,serie a,roma,Attacker,Creative Technician,1976.0,13.0,0.5921052631578947,44.96,45.0,2.049595141700405,9.0,0.4099190283400809,39.44,39.44,39.44,2.322874493927125,40.85526315789474,79.0,79.0,3.4553639933691214,1.1411867115260164,1.4667184303991354,-1.3584948885303585,-0.4676208782498638,0.8509295722567787,0.535084886674172
m. politano,serie a,napoli,Attacker,Creative Technician,2385.0,8.0,0.3018867924528302,45.45,47.0,1.7735849056603774,5.0,0.1886792452830188,44.93,44.93,44.93,2.5283018867924527,40.301886792452834,76.9,76.9,2.641659818496918,-0.4667325649160135,1.2529514652091585,-0.4578380702202898,-0.71586444327447,-0.8784440341431813,0.1804878412589647
r. lukaku,serie a,roma,Attacker,Disruptive Presser,2648.0,13.0,0.4418429003021148,40.76,48.0,1.6314199395770397,3.0,0.1019637462235649,45.83,45.83,45.83,0.9856495468277946,20.4607250755287,70.5,70.5,-0.9629256879802104,0.3228256062303479,-0.0652051017705267,0.0247162879518066,0.4375408931310625,0.05887746995744,0.5656515603670439
f. thauvin,serie a,udinese,Attacker,Off-Ball Disruptor,1715.0,5.0,0.2623906705539358,37.68,29.0,1.521865889212828,3.0,0.1574344023323615,43.75,43.75,43.75,1.9941690962099128,23.825072886297374,70.3,70.3,0.0560279992715556,-0.5407871745595474,0.6228994580736199,-1.1670909893306196,0.4942260066807706,-0.5673112396589249,-0.1423312871146532
g. simeone,serie a,napoli,Attacker,Disruptive Presser,789.0,1.0,0.1140684410646387,46.3,30.0,3.4220532319391634,0.0,0.0,50.0,50.0,50.0,1.0266159695817492,19.50570342205323,70.6,70.6,-0.7781024660304816,0.9914269591524104,-1.178458641802503,1.2696033135700948,-0.8146692757752935,-1.1359835883084897,-2.224051672061386
g. raspadori,serie a,napoli,Attacker,Creative Technician,1572.0,5.0,0.2862595419847328,44.44,40.0,2.2900763358778624,3.0,0.1717557251908396,50.0,50.0,50.0,1.8893129770992367,35.32442748091603,74.0,74.0,1.7190830645380637,0.1547460015460864,0.3715705813204096,-0.0395799139492997,-0.3665896050030928,-0.7922457913198215,-0.4362197537717387
l. lucca,serie a,udinese,Attacker,Disruptive Presser,2602.0,8.0,0.2767102229054573,44.67,52.0,1.7986164488854728,4.0,0.1383551114527286,37.5,37.5,37.5,0.6917755572636433,15.219062259800152,59.7,59.7,-2.0059842272367,-0.043188284351163,-1.2960440748127993,-0.9547656630423276,-0.7165085688729986,0.5328513098143368,-0.0277126432226585
c. ekuban,serie a,genoa,Attacker,Disruptive Presser,1120.0,4.0,0.3214285714285714,49.37,24.0,1.9285714285714288,1.0,0.0803571428571428,47.62,47.62,47.62,1.2857142857142856,16.633928571428573,65.4,65.4,-0.7511640780973845,-0.0187805759745212,-1.5658230726966382,0.0283545731173656,-0.5384674808143691,-0.2405827449693235,0.0874696082586213
r. orsolini,serie a,bologna,Attacker,Pure Finisher,1791.0,10.0,0.5025125628140703,49.12,53.0,2.663316582914573,2.0,0.100502512562814,43.66,43.66,43.66,1.809045226130653,31.30653266331658,67.0,67.0,0.9437772344053824,1.294957618037523,-0.5723603695257033,-0.2691242497046759,-1.4223435553900683,-1.1221616658317806,0.2170392175490569
