name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc,Cluster,Role_Label
A. Belotti,fiorentina,Serie A,Attacker,952.0,-2.539064243627449,-0.0454065223541494,-0.013692539309678,0.1630141974362834,-1.898539887095232,0.4447872415592562,0.3273299088924791,-0.1747167562617653,-0.1985293391291045,-0.2119883408947714,-1.3478302657969994,-1.4486667052953113,-0.860337373817027,-0.9036428915845998,-2.128470655514056,0.5734609836560887,3,Disruptive Presser
A. Cerri,empoli,Serie A,Attacker,554.0,-3.3557280143222274,-1.4475800848055531,-0.5165658808260034,-1.8378734604162004,-2.8675949553767848,-0.1000447875274982,1.0850106620007185,0.5028447555990097,-0.8216175724761459,-1.443180521452005,-1.3478302657969994,-1.1401045053564625,-0.4164175542655615,-3.4050518422643687,-2.9638177756172337,0.4877714113856386,3,Disruptive Presser
P. Pellegri,torino,Serie A,Attacker,745.0,-2.337055962862854,-1.2130404030245887,-0.7623163600028685,-0.6207997630926873,0.0836839126013978,0.6048070051483986,-0.0473178197475479,0.4844604722259289,-1.0358105579113657,-1.0480134915491093,-0.2044158985551359,-1.430319202899651,-1.2553403514858366,-1.5058339352667671,-0.4477119921739279,-0.4548138835893127,3,Disruptive Presser
A. Sanabria,torino,Serie A,Attacker,2134.0,-0.5901741066072559,-0.3024852081444202,0.3403207001504172,2.0536566714929965,-0.6658039160550273,0.0560898116507322,-0.1816605029455152,0.1231737727047779,-0.5726224440912444,0.1202419384227743,-1.3478302657969994,-1.170075167722289,0.1778878609793461,1.1036605873559553,-0.0954571824918643,0.693426384834718,0,Off-Ball Disruptor
P. Almqvist,lecce,Serie A,Attacker,2114.0,-0.9933547700479768,-1.7642034417699657,-0.0427244482482102,0.6905952748323707,0.0328734534043435,0.0551878740138409,0.0638953295676213,-0.6534257046682715,-1.219194476373212,-1.3635279800440676,-0.9448767636233064,-0.2696936488177622,-0.760919484205915,0.2080944198286311,0.0051870488458679,0.2821164379365581,0,Off-Ball Disruptor
Zito Luvumbo,cagliari,Serie A,Attacker,1944.0,-1.2038242590069392,-0.7122082221831711,-1.0046806879640964,-1.4331797329385203,0.3412503226326497,0.7939351898961147,-0.4196488617529066,-0.3470860832301642,-0.7047212649529496,-0.5849259410263893,0.8431257619684032,-0.1752350544411698,-1.5875079118281177,-1.3359851793564124,-0.3269389145686489,-0.2662968245943224,3,Disruptive Presser
Pedro,lazio,Serie A,Attacker,795.0,2.480688974352608,-2.031779352449005,1.9654490785681549,1.0130204194879933,-0.4668134893409228,-0.7166562272706251,0.559566639465348,0.6883461048056432,-1.0748842560677458,-1.3684255946877963,-0.2763287518407872,1.0804455062333729,3.0624054819496243,1.6595292430625697,0.3876351279292501,0.3678060102070081,2,Creative Technician
T. Noslin,verona,Serie A,Attacker,1347.0,-0.0242582635793669,0.4801352261503755,0.6081362359997982,-1.843256906604583,-0.1404515231741748,0.5088056320085012,-0.5906288371307217,-0.5135439862862824,0.0609855386234324,0.3008004924151825,1.1817724174849265,0.870500035992738,-0.4523371142583831,-0.3940966238535363,-1.293123535410878,-0.7804342582170213,1,Pure Finisher
M. Retegui,genoa,Serie A,Attacker,2226.0,-2.158609965196982,0.3237261666064711,-0.9626286857501108,-0.0295930771584077,-0.0394755292175423,0.1662322686750346,-0.3534779578385063,0.4412025069203843,-0.2015871022726445,0.3982528431861885,-0.5824720415425627,-1.497347299095724,-1.2862572298966093,-1.1970180154297587,-0.2464235294984627,-0.3348484824106822,3,Disruptive Presser
A. Lookman,atalanta,Serie A,Attacker,1900.0,3.0429898308712886,1.04541809423728,0.3428658968693252,-0.9311843907296324,0.2480530378507106,-0.1114644654953112,0.0329266094008391,0.0547959843683319,1.0225610133103136,0.8370032165578308,1.790541273764222,1.8537092094137728,1.5187593755479891,0.5786735236330399,0.5889235906047147,0.1964268656661081,2,Creative Technician
G. Scamacca,atalanta,Serie A,Attacker,1457.0,1.943557643693156,3.017880327277411,-0.8771690728336317,-1.8003717948082103,1.3047181655758773,-0.3361915625972148,-0.4294451798116596,0.4353787960827605,2.154976596883892,2.3460799025490946,2.1601053701474977,1.2788718690215506,0.1990111961120023,-0.7029125436905447,1.162595709229788,-0.8661238304874725,1,Pure Finisher
S. Chukwueze,milan,Serie A,Attacker,1015.0,1.528882137622219,-1.0724577739069583,1.5185135715393552,-0.50211681339493,-0.5476790271013542,0.615711188795047,-0.6991139041172004,0.262376809607509,-1.201074977798401,-0.3908729706837471,1.1699343753710465,0.8171774262468706,1.4296005107879557,0.9801342194211524,-0.79996680185599,-0.0777797655993321,2,Creative Technician
Rafael Leão,milan,Serie A,Attacker,2521.0,2.862910931158907,-0.5692429866691869,-0.9043798897071776,-0.3372750878493478,-0.270465087715374,0.521482935766817,0.2871262351932936,-0.221676723152886,-0.0047113059985939,-0.252254705938284,1.6932618930116865,1.3971050715971292,1.0107941202128208,0.2389760118123302,0.9713716696880976,1.7388391665342082,2,Creative Technician
A. Saelemaekers,bologna,Serie A,Attacker,1891.0,2.258112187521557,-1.760639747991252,1.080985746915441,0.7208007731927512,-1.9505631631619205,-0.4538314106740244,1.0124910857282696,-0.09659664477279,-0.6780289656598893,-1.2400631408248288,-0.4468850478221837,1.2929840027112245,2.5569987084448846,0.9183710354537497,-0.5382918003778868,1.8416666532587485,2,Creative Technician
N. Okafor,milan,Serie A,Attacker,870.0,-1.346955778284692,1.7043667158655158,-0.8233433549884605,-1.333422448073709,0.7859953196641465,0.2972944472773703,0.4509379691070032,0.5320951553171424,1.534969306998074,0.5852629103869624,0.6104311217781471,-0.8304338787609115,-1.065222839546999,-1.5212747312586168,-0.0954571824918643,-1.071778803936552,1,Pure Finisher
A. Guðmundsson,genoa,Serie A,Attacker,3024.0,1.3281548596041062,-0.5455903166567292,0.9461475077619234,-0.5904824749638967,0.606577626644455,-1.171488704101696,0.8809999119221874,-0.8478511553516948,0.4857301021031291,-0.9769716514121012,-0.2210528800890781,2.0310750782654075,0.7790088028364303,0.4242655637145357,0.3876351279292501,-0.489089712497492,0,Off-Ball Disruptor
J. Ikoné,fiorentina,Serie A,Attacker,1685.0,-0.1852958641809208,-0.6886631514596567,0.3393491566510714,1.9666853545138048,0.177792471974995,0.2529272850294236,-0.39810259410114,-0.0467183123267387,-0.8330215428505071,-0.1992553359608966,-0.842285041111428,-0.8764215459351828,-0.043702819419377,1.4587988951685145,0.5084082055345291,0.3849439246610983,0,Off-Ball Disruptor
M'Bala Nzola,fiorentina,Serie A,Attacker,1544.0,-0.3513859670597973,-0.76871120497606,1.26051873821029,0.3837695393037794,1.6053757584753725,0.6926769043358599,-0.6443111669785409,-0.4824766534715167,-0.7577672844176249,-0.823403487136662,0.3073064639863984,-0.1397163236964243,-0.7246148411132911,1.5360028751277666,0.216539934655105,-1.3631233496560824,0,Off-Ball Disruptor
R. Sottil,fiorentina,Serie A,Attacker,1107.0,1.7702546590984007,-0.6442220606689468,-0.7825702531668983,1.3389075996281112,-0.841589266793518,1.2219375366022802,-0.425473538468158,0.339796611882907,-0.820862861738909,0.2106399883416886,0.9606892561411814,-0.4309495320267245,0.8027798467591685,1.0110158114048513,0.6392457062735808,2.133011198978279,2,Creative Technician
A. Milik,juventus,Serie A,Attacker,900.0,0.9777001607973124,1.165962088568521,-0.0013177983636573,1.2403226552717008,-0.315652321430346,-0.3872415244441324,-0.6130025015672533,-0.4366229152817311,0.400017603675092,1.478802678443997,-0.4013372618023451,0.3409147833930586,0.2372585149255302,1.1654237713233555,0.3876351279292501,0.693426384834718,1,Pure Finisher
Lautaro Martínez,inter,Serie A,Attacker,2668.0,-0.0748579282231327,2.7984627755007927,0.6560258437304274,0.5370821651680527,-0.9552733556729645,0.3386644074799191,0.9192756361201077,-0.5613127051282255,2.506463292179431,1.305122314320378,-0.3899850218743739,-0.3329045138995262,0.0153110195445613,0.7948446675189468,-1.293123535410878,0.4363576680233679,1,Pure Finisher
M. Thuram,inter,Serie A,Attacker,2707.0,1.5718480722130763,0.1730919924318848,-2.99152110528308,1.5436632582581775,0.8979140815445262,0.704687142246335,0.4392500046680924,0.124737530426779,0.5656798836069324,0.2844973351418797,0.8549425177886377,-0.5925094026995158,-0.5185423337950873,0.0845680518938259,2.9037409113725565,2.2701145146109973,2,Creative Technician
P. Dybala,roma,Serie A,Attacker,1976.0,3.4553639933691214,1.1411867115260164,1.4667184303991354,-1.3584948885303585,-0.4676208782498638,0.8509295722567787,0.535084886674172,0.1999093224805779,1.387966927661421,0.3772526404951424,2.5320246594847307,1.774366844412686,2.277630754751376,1.072778995372254,-0.6791937242507118,0.2821164379365581,2,Creative Technician
D. Berardi,sassuolo,Serie A,Attacker,1437.0,0.7281417412329273,1.3733296425406998,0.2553001759174091,-1.5016758815185554,-0.3023054554076343,-1.0563906779331391,0.4818941838199413,1.1398882212199304,1.2417537051479302,0.936767972854853,0.4305490736501586,0.6736778769132723,1.4526289526305818,-1.2742219953890108,-0.2162302600971433,-0.7975721726711116,1,Pure Finisher
F. Thauvin,udinese,Serie A,Attacker,1715.0,0.0560279992715556,-0.5407871745595474,0.6228994580736199,-1.1670909893306196,0.4942260066807706,-0.5673112396589249,-0.1423312871146532,-0.5270160593045776,-0.3076727623546542,-0.5165293949346081,0.142275338159599,1.201760167084147,-0.1261945571483846,-0.2705702559187333,-0.23635910636469,-0.9689513172120116,0,Off-Ball Disruptor
L. Lucca,udinese,Serie A,Attacker,2602.0,-2.0059842272367,-0.043188284351163,-1.2960440748127993,-0.9547656630423276,-0.7165085688729986,0.5328513098143368,-0.0277126432226585,0.1690092340509789,-0.2340308858494546,-0.0478142775433052,-0.0383088152279164,-1.067016804907542,-1.3409400091093242,-1.9072946310548773,-0.8704177637924029,0.2307026945742885,3,Disruptive Presser
M. Politano,napoli,Serie A,Attacker,2385.0,2.641659818496918,-0.4667325649160135,1.2529514652091585,-0.4578380702202898,-0.71586444327447,-0.8784440341431813,0.1804878412589647,-0.1188649574613229,-0.1045540851842999,-0.0902086370528725,0.4380055907966872,2.132222534272932,2.199521227315569,0.7485222795433959,-0.1256504518931844,0.3678060102070081,2,Creative Technician
R. Lukaku,roma,Serie A,Attacker,2648.0,-0.9629256879802104,0.3228256062303479,-0.0652051017705267,0.0247162879518066,0.4375408931310625,0.05887746995744,0.5656515603670439,-0.0548108395906226,0.6152051752572653,-0.3309845503717163,-0.3827505411800941,-0.5550866392143763,-0.6010750074888686,-0.239688663935032,-0.0350706436892248,-0.4376759691352225,3,Disruptive Presser
V. Osimhen,napoli,Serie A,Attacker,1989.0,-1.2399029654118725,2.6062002443725945,-1.5014585482133034,0.0516617032900007,0.2957338780911561,-0.2746078471766547,-0.0179545267911242,-0.6009807007393586,1.8334718760281568,1.8106330060544469,-0.4912755110507067,-0.5379704466974071,-1.802977582766784,-0.7955573196416463,0.2366687809226517,0.025047721125208,1,Pure Finisher
G. Simeone,napoli,Serie A,Attacker,789.0,-0.7781024660304816,0.9914269591524104,-1.178458641802503,1.2696033135700948,-0.8146692757752935,-1.1359835883084897,-2.224051672061386,0.0557496289193011,-1.0704568940713195,2.7016990865721544,-1.3478302657969994,-0.4837228971581567,-0.7358770964511645,-0.2242478679431825,0.3876351279292501,0.5049093258397289,3,Disruptive Presser
G. Raspadori,napoli,Serie A,Attacker,1572.0,1.7190830645380637,0.1547460015460864,0.3715705813204096,-0.0395799139492997,-0.3665896050030928,-0.7922457913198215,-0.4362197537717387,0.4560746932720029,-0.1849211260551808,0.7845406015117907,0.2778256570945813,1.0191002096313526,1.4969487668082877,0.3007391957797328,0.3876351279292501,0.1792889512120178,2,Creative Technician
