name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_AS Roma,team_Atalanta,team_Bologna,team_Cagliari,team_Empoli,team_Fiorentina,team_Genoa,team_Inter,team_Juventus,team_Lazio,team_Lecce,team_Monza,team_Napoli,team_Salernitana,team_Sassuolo,team_Torino,team_Udinese,team_Verona,league,team_Le Havre,team_Lens,team_Lille,team_Lorient,team_Lyon,team_Marseille,team_Metz,team_Monaco,team_Montpellier,team_Nantes,team_Nice,team_Paris Saint Germain,team_Reims,team_Rennes,team_Stade Brestois 29,team_Strasbourg,team_Toulouse,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal
M. Terrier,Attacker,1533.0,184.0,91.0,7.0,26.0,0,3.0,34.0,16.0,0,16.0,491.0,79.5,0.0,47.05882352941176,martin terrier,rennes,10.80234833659491,5.342465753424658,0.410958904109589,1.5264187866927592,0.0,0.1761252446183953,1.9960861056751469,0.9393346379647748,0.0,0.9393346379647748,28.82583170254403,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,
A. Adams,Attacker,2264.0,265.0,102.0,8.0,57.0,0,1.0,41.0,14.0,0,18.0,374.0,64.9,0.0,34.14634146341464,akor adams,montpellier,10.534452296819788,4.054770318021202,0.3180212014134275,2.265901060070671,0.0,0.0397526501766784,1.6298586572438165,0.5565371024734982,0.0,0.715547703180212,14.86749116607774,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
E. Wahi,Attacker,1700.0,149.0,50.0,9.0,50.0,0,3.0,37.0,17.0,0,16.0,283.0,72.5,0.0,45.94594594594595,elye wahi,lens,7.888235294117647,2.647058823529412,0.4764705882352941,2.647058823529412,0.0,0.1588235294117647,1.9588235294117649,0.9,0.0,0.8470588235294116,14.98235294117647,,,,,,,,,,,,,,,,,,,Ligue 1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
I. Sarr,Attacker,1448.0,195.0,93.0,3.0,20.0,0,4.0,39.0,14.0,0,20.0,440.0,75.8,0.0,35.8974358974359,ismaila sarr,marseille,12.120165745856356,5.780386740331492,0.18646408839779,1.2430939226519335,0.0,0.2486187845303867,2.4240331491712706,0.8701657458563535,0.0,1.2430939226519335,27.34806629834254,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
I. Ndiaye,Attacker,1624.0,219.0,98.0,3.0,24.0,0,3.0,74.0,44.0,0,22.0,542.0,82.7,0.0,59.45945945945946,iliman ndiaye,marseille,12.136699507389162,5.431034482758621,0.1662561576354679,1.3300492610837438,0.0,0.1662561576354679,4.100985221674877,2.438423645320197,0.0,1.2192118226600983,30.036945812807883,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Ivan Cavaleiro,Attacker,773.0,105.0,42.0,1.0,6.0,0,1.0,18.0,10.0,0,12.0,253.0,73.4,0.0,55.55555555555556,ivan cavaleiro,lille,12.22509702457956,4.890038809831824,0.1164294954721863,0.6985769728331177,0.0,0.1164294954721863,2.095730918499353,1.1642949547218628,0.0,1.3971539456662354,29.456662354463127,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Ângelo,Attacker,1089.0,163.0,78.0,0.0,7.0,0,3.0,53.0,30.0,0,27.0,377.0,70.4,0.0,56.60377358490566,angelo,strasbourg,13.47107438016529,6.446280991735537,0.0,0.5785123966942148,0.0,0.2479338842975206,4.380165289256198,2.479338842975207,0.0,2.231404958677686,31.15702479338843,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,
S. Nicholson,Attacker,1487.0,204.0,87.0,4.0,30.0,0,3.0,25.0,8.0,0,18.0,379.0,70.5,0.0,32.0,shamar nicholson,clermont foot,12.34700739744452,5.265635507733692,0.242098184263618,1.8157363819771355,0.0,0.1815736381977135,1.5131136516476127,0.484196368527236,0.0,1.089441829186281,22.93880295897781,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
M. Daramy,Attacker,1656.0,179.0,95.0,4.0,24.0,0,5.0,89.0,52.0,0,23.0,498.0,76.1,0.0,58.42696629213483,mohamed daramy,reims,9.728260869565217,5.163043478260869,0.217391304347826,1.3043478260869563,0.0,0.2717391304347826,4.836956521739131,2.8260869565217392,0.0,1.25,27.065217391304348,,,,,,,,,,,,,,,,,,,Ligue 1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
E. Sabbi,Attacker,1588.0,247.0,107.0,5.0,24.0,0,1.0,57.0,20.0,0,10.0,340.0,70.1,0.0,35.08771929824561,emmanuel sabbi,le havre,13.998740554156171,6.064231738035264,0.2833753148614609,1.3602015113350123,0.0,0.0566750629722921,3.2304785894206547,1.1335012594458438,0.0,0.5667506297229219,19.269521410579344,,,,,,,,,,,,,,,,,,,Ligue 1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
