name,team_clean,league,position,minutes,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc
J. Ikoné,fiorentina,Serie A,Attacker,1685.0,-0.8330215428505071,-0.19925533596089665,-0.842285041111428,-0.8764215459351828,-0.043702819419377044,1.4587988951685145,0.5084082055345291,0.38494392466109834
M'Bala Nzola,fiorentina,Serie A,Attacker,1544.0,-0.7577672844176249,-0.823403487136662,0.30730646398639844,-0.1397163236964243,-0.7246148411132911,1.5360028751277666,0.21653993465510507,-1.3631233496560824
R. Sottil,fiorentina,Serie A,Attacker,1107.0,-0.820862861738909,0.21063998834168868,0.9606892561411814,-0.43094953202672454,0.8027798467591685,1.0110158114048513,0.6392457062735808,2.133011198978279
A. Milik,juventus,Serie A,Attacker,900.0,0.40001760367509204,1.478802678443997,-0.4013372618023451,0.3409147833930586,0.23725851492553027,1.1654237713233555,0.38763512792925015,0.693426384834718
Lautaro Martínez,inter,Serie A,Attacker,2668.0,2.506463292179431,1.305122314320378,-0.38998502187437395,-0.3329045138995262,0.015311019544561315,0.7948446675189468,-1.2931235354108779,0.4363576680233679
M. Thuram,inter,Serie A,Attacker,2707.0,0.5656798836069324,0.2844973351418797,0.8549425177886377,-0.5925094026995158,-0.5185423337950873,0.08456805189382598,2.9037409113725565,2.2701145146109973
P. Dybala,roma,Serie A,Attacker,1976.0,1.387966927661421,0.3772526404951424,2.5320246594847307,1.7743668444126859,2.277630754751376,1.072778995372254,-0.6791937242507118,0.2821164379365581
D. Berardi,sassuolo,Serie A,Attacker,1437.0,1.2417537051479302,0.936767972854853,0.4305490736501586,0.6736778769132723,1.4526289526305818,-1.2742219953890108,-0.2162302600971433,-0.7975721726711116
F. Thauvin,udinese,Serie A,Attacker,1715.0,-0.30767276235465424,-0.5165293949346081,0.142275338159599,1.2017601670841467,-0.12619455714838465,-0.2705702559187333,-0.23635910636469004,-0.9689513172120116
L. Lucca,udinese,Serie A,Attacker,2602.0,-0.2340308858494546,-0.04781427754330527,-0.038308815227916466,-1.0670168049075421,-1.3409400091093242,-1.9072946310548773,-0.8704177637924029,0.23070269457428857
M. Politano,napoli,Serie A,Attacker,2385.0,-0.10455408518429994,-0.09020863705287255,0.4380055907966872,2.132222534272932,2.199521227315569,0.7485222795433959,-0.12565045189318444,0.3678060102070081
R. Lukaku,roma,Serie A,Attacker,2648.0,0.6152051752572653,-0.33098455037171637,-0.38275054118009416,-0.5550866392143763,-0.6010750074888686,-0.23968866393503202,-0.035070643689224835,-0.4376759691352225
V. Osimhen,napoli,Serie A,Attacker,1989.0,1.8334718760281572,1.8106330060544469,-0.4912755110507067,-0.5379704466974071,-1.8029775827667838,-0.7955573196416463,0.23666878092265178,0.02504772112520807
G. Simeone,napoli,Serie A,Attacker,789.0,-1.0704568940713197,2.7016990865721544,-1.3478302657969994,-0.48372289715815675,-0.7358770964511645,-0.2242478679431825,0.38763512792925015,0.5049093258397289
G. Raspadori,napoli,Serie A,Attacker,1572.0,-0.18492112605518082,0.7845406015117907,0.27782565709458135,1.0191002096313526,1.4969487668082877,0.3007391957797328,0.38763512792925015,0.17928895121201785
C. Ekuban,genoa,Serie A,Attacker,1120.0,-0.004055603199943163,0.1722823453185854,-0.5872555304441528,-0.03237215289776726,-1.1412304698378264,-1.0271692595194026,0.1460889727186922,1.036184673916518
C. Immobile,lazio,Serie A,Attacker,1659.0,0.2958606435600077,0.5811441935891961,-0.834362090031365,-0.6655423992644838,-0.05862219010932607,0.19265362383677936,-1.665507191360488,-0.4376759691352225
R. Orsolini,bologna,Serie A,Attacker,1791.0,0.927214076418399,1.4166742687820684,-0.3965810155511163,0.8792733297019375,0.9298196209170415,-0.7801165236497969,-0.2464235294984627,0.9847709305542485
