name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
M. Terrier,rennes,Ligue 1,Attacker,0,Off-Ball Disruptor,0.3845247446975648,0.4813716553324511,0.3657812507743815,0.5402514468914852,0.8364722823693749,0.4714368137185518,0.8891724492027763,0.8171211263891355,0.5416065418403246
I. Ndiaye,marseille,Ligue 1,Attacker,0,Off-Ball Disruptor,0.4202670856245091,0.5334318022281679,0.2175255213915241,0.5820350885095358,0.8919817757834836,0.6959735922801513,0.7145647739681679,0.5904954584273295,0.6156149979078988
I. Sarr,marseille,Ligue 1,Attacker,0,Off-Ball Disruptor,0.3511390416339356,0.447678490930656,0.2405671583358501,0.6083663568980885,0.591190850920996,0.3765859418704292,1.0,0.6345373944446037,0.4414966966487036
A. Joujou,le havre,Ligue 1,Attacker,0,Off-Ball Disruptor,0.0832678711704634,0.3338322536249993,0.1995044454103011,0.6939455594244458,0.4498626875417623,0.54203262907652,0.7943353558066034,0.3599979430307273,0.9350718964370448
C. Sabaly,metz,Ligue 1,Attacker,0,Off-Ball Disruptor,0.3252160251374706,0.3046721943663675,0.2226347875500044,0.5580224623909014,0.911250254938983,0.5326964741728138,0.8086011777364148,0.7256250944016385,0.5113495769618717
E. Kroupi,lorient,Ligue 1,Attacker,0,Off-Ball Disruptor,0.2050274941084053,0.4391988053650328,0.3937530720441619,0.4529796928809585,0.7214584803056403,1.0,0.7897370421664511,0.637936501077309,0.7351909853672793
R. Kolo Muani,paris sg,Ligue 1,Attacker,0,Off-Ball Disruptor,0.2788688138256088,0.5010024125551713,0.3489592138172989,0.6048946968741661,0.3005946482874181,0.6422637617579535,0.924918734076802,0.7584815978605615,0.3364207424808654
M. Satriano,brest,Ligue 1,Attacker,0,Off-Ball Disruptor,0.5168892380204243,0.4003311976565162,0.3792966156832459,0.3160981494254649,0.7020483777211889,0.3971844953114078,0.8091618026205074,0.3615491739170507,0.4982855689449625
Adri Embarba,almeria,La Liga,Attacker,0,Off-Ball Disruptor,0.7584446190102122,0.3805248119215356,0.2211908767522635,0.4775460392705082,0.497073486903964,0.3496682065230829,0.3359263588223028,0.5369524700884685,0.3512788580704273
Carles Pérez,celta vigo,La Liga,Attacker,0,Off-Ball Disruptor,0.0852317360565592,0.354596214340957,0.2732077878107897,0.7323621052087499,0.6914083361484886,0.5982276478288693,0.6072828167119172,0.416898018170508,0.6574272533778593
