name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal,league
Ilias Akhomach,Attacker,1512.0,281.0,131.0,2.0,17.0,0,2.0,115.0,57.0,0,21.0,443.0,77.3,0.0,49.56521739130435,ilias akhomach,villarreal,16.726190476190474,7.797619047619047,0.119047619047619,1.011904761904762,0.0,0.119047619047619,6.845238095238096,3.392857142857143,0.0,1.25,26.369047619047617,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,La Liga
Álex Berenguer,Attacker,1579.0,247.0,88.0,7.0,21.0,0,3.0,58.0,22.0,0,33.0,445.0,62.6,0.0,37.93103448275862,alex berenguer,athletic club,14.078530715642811,5.015832805573147,0.3989867004433186,1.1969601013299558,0.0,0.1709943001899936,3.3058898036732107,1.2539582013932868,0.0,1.8809373020899305,25.3641545281824,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Rodrygo,Attacker,2390.0,271.0,128.0,10.0,67.0,0,5.0,128.0,60.0,0,46.0,961.0,87.7,0.0,46.875,rodrygo,real madrid,10.205020920502092,4.820083682008368,0.3765690376569037,2.5230125523012554,0.0,0.1882845188284518,4.820083682008368,2.2594142259414225,0.0,1.7322175732217573,36.18828451882845,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,La Liga
Vinícius Júnior,Attacker,1875.0,311.0,138.0,15.0,62.0,0,5.0,160.0,65.0,0,32.0,623.0,72.3,0.0,40.625,vinicius junior,real madrid,14.928,6.624,0.72,2.976,0.0,0.24,7.68,3.12,0.0,1.536,29.904,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,La Liga
Ferran Torres,Attacker,1202.0,94.0,39.0,7.0,25.0,0,2.0,22.0,10.0,0,26.0,418.0,78.0,0.0,45.45454545454545,ferran torres,barcelona,7.038269550748752,2.9201331114808653,0.5241264559068219,1.8718801996672207,0.0,0.1497504159733777,1.6472545757071548,0.7487520798668885,0.0,1.9467554076539104,31.297836938435942,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Raphinha,Attacker,1370.0,135.0,72.0,6.0,47.0,0,9.0,43.0,24.0,0,41.0,587.0,75.3,0.0,55.81395348837209,raphinha,barcelona,8.868613138686133,4.729927007299271,0.3941605839416058,3.0875912408759127,0.0,0.5912408759124088,2.8248175182481754,1.5766423357664234,0.0,2.6934306569343067,38.56204379562044,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Lamine Yamal,Attacker,2196.0,328.0,185.0,5.0,44.0,0,5.0,129.0,70.0,0,38.0,1026.0,79.8,0.0,54.26356589147287,lamine yamal,barcelona,13.442622950819674,7.581967213114754,0.2049180327868852,1.8032786885245904,0.0,0.2049180327868852,5.286885245901639,2.8688524590163937,0.0,1.5573770491803278,42.04918032786885,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
Gonçalo Guedes,Attacker,948.0,70.0,34.0,3.0,17.0,0,2.0,16.0,10.0,0,19.0,300.0,76.6,0.0,62.5,goncalo guedes,villarreal,6.6455696202531644,3.2278481012658227,0.2848101265822785,1.6139240506329111,0.0,0.1898734177215189,1.5189873417721518,0.9493670886075948,0.0,1.8037974683544304,28.48101265822785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,La Liga
Sávio,Attacker,2992.0,406.0,216.0,9.0,34.0,0,10.0,195.0,104.0,0,54.0,928.0,76.3,0.0,53.333333333333336,savio,girona,12.212566844919785,6.497326203208556,0.2707219251336898,1.0227272727272727,0.0,0.3008021390374331,5.865641711229946,3.128342245989305,0.0,1.624331550802139,27.9144385026738,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,La Liga
Rubén Sobrino,Attacker,1648.0,268.0,121.0,0.0,12.0,0,1.0,39.0,16.0,0,22.0,497.0,73.6,0.0,41.02564102564102,ruben sobrino,cadiz,14.635922330097088,6.608009708737864,0.0,0.6553398058252428,0.0,0.0546116504854368,2.1298543689320386,0.8737864077669902,0.0,1.2014563106796117,27.141990291262136,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,La Liga
Chris Ramos,Attacker,2626.0,599.0,265.0,5.0,64.0,0,1.0,62.0,18.0,0,14.0,468.0,56.4,0.0,29.03225806451613,chris ramos,cadiz,20.52932216298553,9.082254379284082,0.1713632901751713,2.1934501142421934,0.0,0.0342726580350342,2.1249047981721247,0.6169078446306169,0.0,0.4798172124904798,16.03960396039604,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,La Liga
Léo Baptistão,Attacker,1932.0,250.0,114.0,6.0,39.0,0,0.0,26.0,12.0,0,19.0,532.0,64.4,0.0,46.15384615384615,leo baptistao,almeria,11.645962732919257,5.3105590062111805,0.2795031055900621,1.816770186335404,0.0,0.0,1.2111801242236024,0.5590062111801242,0.0,0.8850931677018634,24.782608695652176,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,La Liga
José Luis Morales,Attacker,1037.0,80.0,20.0,7.0,19.0,0,0.0,31.0,9.0,0,5.0,201.0,72.0,0.0,29.03225806451613,jose luis morales,villarreal,6.943105110896818,1.7357762777242045,0.6075216972034715,1.6489874638379944,0.0,0.0,2.690453230472517,0.781099324975892,0.0,0.4339440694310511,17.444551591128253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,La Liga
