name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cluster
F. Magri,toulouse,Ligue 1,Attacker,1433.0,-1.3556546323364176,0.2790590430036868,0.1412050862531083,-0.3320803672071638,0.0408390803688097,0.3014756367906037,-0.2385962176092558,0.1158173037802366,3
A. Gouiri,rennes,Ligue 1,Attacker,2075.0,0.9466039070194256,0.5994260113694019,0.6188064553080221,1.647306593858278,0.2046957586007619,0.0044441845444653,-0.6290491000618995,0.8784575592485346,1
R. Kolo Muani,paris sg,Ligue 1,Attacker,1264.0,0.9730578273738414,-0.1818823514327197,0.591455974732271,-1.8220763544713408,0.6596613494517806,1.1730659326433297,0.5478647833424469,-0.3718233235722068,0
Gonçalo Ramos,paris sg,Ligue 1,Attacker,1419.0,0.1446236409773218,1.823336037635305,-0.218655189205001,1.291422095883007,-0.978196781214786,0.2166578819340361,1.1203120066043166,-0.5354654684428672,1
T. Moffi,nice,Ligue 1,Attacker,1960.0,-1.0663879007089485,0.9548087237531891,-0.3556956299234673,0.1462646383361791,2.075548443068761,-0.649389358212209,0.1508501099488884,0.1538325834959125,1
E. Guessand,nice,Ligue 1,Attacker,1542.0,-1.537136300419224,0.7126592763193723,-0.0544727893251102,0.9952471093587868,-0.4443214372963552,-0.1280470558669675,-0.32686971618055,-0.7125565042019861,3
Mostafa Mohamed,nantes,Ligue 1,Attacker,2015.0,-1.2682754103572835,0.5522744339906813,-1.357669572185219,-0.1708227660533128,-0.3238576054816989,-0.1627083843678209,-0.1764063936897866,-0.2928590713777032,3
F. Balogun,monaco,Ligue 1,Attacker,1696.0,-0.9811839918157252,1.3143294687283091,1.4326063018045518,-1.8385102709267889,0.3722183328034003,0.7999793316121832,-1.131584624704501,-0.2331156683833672,1
C. Sabaly,metz,Ligue 1,Attacker,1382.0,-0.7280945383458248,-1.1947408357482667,0.3138173333117149,1.5618527166953329,0.0579274062508935,0.730729717609725,0.4277887223520196,0.0266851222623055,0
E. Kroupi,lorient,Ligue 1,Attacker,1076.0,0.4375449880797589,0.1772709864522777,-0.3083832538654522,0.5101274944023361,2.6243174252533152,0.6589925646774532,0.1073255028453963,0.5366221606110806,0
M. Bamba,lorient,Ligue 1,Attacker,1149.0,-0.4206893061313904,2.009623797186248,0.2663661836335914,-0.7609454827194155,0.4327263906194018,0.7999568073657685,0.0960300522756968,-0.1102524075184691,1
M. Bayo,le havre,Ligue 1,Attacker,1394.0,-1.463007888545079,0.4778662061255946,-0.8020136500629381,-0.0722566002408668,-0.2664420205783259,-0.4083899726591854,-0.2430530680527728,0.3340136062535194,3
J. David,lille,Ligue 1,Attacker,2640.0,0.0017293445077151,1.8644975483176531,0.9338455916108656,0.8396383075788764,0.6619179354794065,0.5064835074040942,0.3749452749540591,-0.5305239094634501,1
A. Joujou,le havre,Ligue 1,Attacker,766.0,-0.4754298988931084,-1.380197947833211,1.1189315851518211,-0.9949121527070616,0.1092007509540374,0.6764791824771784,-0.908417614474329,0.9919743697464328,0
A. Nordin,montpellier,Ligue 1,Attacker,1253.0,2.3742323495704087,-0.4721553003451825,-2.091000318091418,1.6805670177590069,0.3042899323964771,0.5866607505906002,0.4951728533571608,-0.5702698112624803,2
T. Dallinga,toulouse,Ligue 1,Attacker,2517.0,-0.1682747220062213,0.8768160368173442,-2.3841254865793577,1.366598669363872,-0.4802718977425115,-0.1012861646554126,0.6900763032777292,0.3305603872371697,1
